bounty,fav
150,4
750,12
140,6
350,7
100,3
100,5
100,14
1000,12
25,1
1500,16
100,1
500,1
100,1
60,2
50,3
5000,27
400,60
50,7
40,2
500,5
1000,18
100,2
250,8
1000,8
400,10
20,1
350,8
800,29
100,1
200,8
100,6
25000,223
300,8
4000,42
100,2
1000,65
5000,15
100,17
500,13
1000,27
2000,23
750,9
150,5
150,5
150,1
150,3
100,7
500,13
100,11
500,3
20,1
200,5
5000,67
4000,18
1500,28
1000,6
800,4
250,2
150,3
100,10
1000,8
100,7
500,4
100,20
500,11
21000,70
500,7
500,5
1000,11
100,13
750,10
1000,16
500,8
60,2
250,2
10,4
300,4
300,3
400,4
1250,30
2000,10
500,11
250,7
250,4
500,17
250,11
2000,26
100,4
800,11
2000,12
25,1
300,1
560,5
800,2
300,12
1000,24
500,5
300,4
400,7
800,2
800,1
100,4
400,7
2500,7
250,3
100,2
800,3
264,4
250,1
150,2
50,3
800,3
800,2
100,1
800,1
500,4
500,6
50,2
3000,20
150,4
100,1
100,6
700,23
800,2
300,4
40,1
500,8
750,16
500,1
500,1
500,9
2500,12
1000,3
1500,15
2000,5
10,1
5,2
50,2
150,1
100,3
500,2
2000,30
500,2
500,1
150,5
500,1
350,1
2000,3
150,3
100,2
10000,20
100,1
800,3
350,3
5000,57
260,5
350,6
150,4
1000,14
500,7
100,1
300,5
500,14
60,3
1000,9
150,1
100,3
1000,5
1680,20
20,1
1000,15
100,7
100,1
300,1
500,4
25,1
500,2
500,2
280,2
500,6
800,3
1000,5
20,4
200,11
75,2
256,1
150,13
20,1
500,6
1000,10
1500,85
500,5
64,6
150,11
300,7
2000,70
1000,21
500,15
256,9
100,6
500,12
750,9
300,14
500,16
2000,67
140,8
150,4
50,8
1500,14
1500,6
750,22
100,2
150,10
1500,30
200,12
200,12
225,7
750,6
1000,19
100,12
100,6
300,3
500,3
2500,19
2000,28
1000,10
2900,53
100,8
10000,44
500,17
250,9
300,10
375,14
1500,22
100,7
500,7
200,11
280,8
100,15
1000,29
500,15
500,17
400,10
400,16
300,6
350,6
50,4
300,2
50,5
300,11
130,13
1024,40
1337,27
500,6
1000,53
250,4
5040,39
50,1
500,22
375,11
250,8
5000,12
250,1
500,3
500,2
500,3
3000,75
200,2
100,3
280,6
500,3
350,3
750,9
100,2
1000,2
750,4
250,1
800,3
512,5
800,1
800,1
100,1
800,1
520,5
300,4
2500,15
100,1
600,7
800,1
800,2
8000,6
1000,1
280,6
600,3
100,2
800,3
2048,16
50,2
400,6
800,2
800,2
100,2
150,3
500,3
300,14
3000,19
800,2
800,1
800,5
500,8
150,2
150,1
375,5
100,4
150,2
280,9
800,2
1120,27
100,3
1000,7
50,6
100,3
100,3
800,1
350,3
1350,4
1500,4
250,2
1000,20
500,6
400,11
100,4
1120,22
128,7
750,4
1000,35
50,3
100,2
560,12
250,2
150,4
1500,32
100,2
300,5
600,5
500,1
550,6
1000,2
300,4
300,3
250,11
100,5
800,4
100,2
100,3
600,9
700,3
250,1
3500,5
1000,13
150,6
200,3
750,6
150,4
500,10
500,6
500,4
1500,14
400,3
500,12
275,4
200,7
200,20
500,2
1500,1
200,21
150,16
500,1
500,10
40,3
1120,59
500,5
250,7
888,6
300,4
150,3
2000,17
2500,28
200,4
1000,9
150,4
50,2
1000,8
40,3
300,7
75,1
500,6
20,2
350,10
1000,10
200,10
5000,34
750,8
500,1
500,6
300,2
500,15
100,3
500,4
750,9
750,17
100,9
500,12
500,11
650,8
500,25
200,4
250,6
150,10
256,10
100,5
10000,62
2500,18
100,10
250,7
500,6
200,13
420,23
256,8
500,16
2000,40
300,8
1000,14
50,2
100,1
300,8
264,7
1200,20
1000,11
100,1
1500,10
100,4
40,7
1000,8
350,4
100,2
200,2
20,3
128,1
100,2
500,18
40,7
50,6
15000,32
1000,7
200,1
200,7
20,3
40,2
1500,18
2520,15
250,23
4000,43
2000,32
3000,16
12500,113
250,22
500,32
300,4
300,2
500,10
500,5
100,9
2000,21
10,7
100,10
1000,16
50,2
200,12
7560,139
150,6
700,8
1000,15
1500,36
2520,86
500,20
500,7
250,3
500,8
1000,6
50,7
5000,72
100,1
1000,22
300,6
450,14
